consti_no,consti_name,votes,percentage,margin,lat,lng
30,Pallavaram,88646,33,37781,12.97210827972338,80.15321702243145
27,Shozhinganallur,136153,35,35405,12.925453000605524,80.22135993406292
43,Vellore,75118,41,9181,12.922851109041483,79.14739110994785
44,Anaikattu,88799,44,6360,12.803099099044227,79.0026938191607
31,Tambaram,80016,32,36824,12.91361199145029,80.12421866169927
55,Hosur,105864,42,12367,12.738048082253266,77.84765495637063
42,Arcot,83927,40,19958,12.782943619252672,79.38563632789914
48,Ambur,70244,39,20232,12.776719159111929,78.7852765448039
32,Chengalpattu,103908,37,26665,12.774892931913337,79.99328247789285
54,Veppanahalli,94104,45,-3054,12.662652624419133,78.092849335191
68,Cheyyar,90189,42,12271,12.715884516607213,79.60730158770536
33,Thiruporur,92007,40,1947,12.708907193961858,80.14083287721695
36,Uthiramerur,91805,43,1622,12.69697527548862,79.83278779815636
67,Arani,102961,46,-3128,12.659864022356794,79.30117084840214
47,Vaniyambadi,88018,46,-4904,12.6060797081121,78.76787215882507
65,Kalasapakkam,84912,43,9222,12.519360916972795,78.98180608804824
56,Thalli,64415,33,56226,12.431617215712004,77.80248819959638
66,Polur,97732,48,-9725,12.546323683691094,79.17141063832793
35,Madurantakam (SC),86646,46,-3570,12.516993581188865,79.87896059520685
52,Bargur,84642,42,12614,12.46502266756209,78.35105171253902
49,Jolarpet,88399,45,1091,12.56994696143317,78.5662462062682
50,Tiruppattur,68282,36,28240,12.456799635045167,78.5645047575454
53,Krishnagiri,96050,45,-794,12.474529522769325,78.16581696538077
69,Vandavasi (SC),66111,35,35953,12.475120916047496,79.58505090012963
62,Chengam (SC),96511,43,11570,12.291203563643615,78.7719089632493
34,Cheyyur (SC),78708,43,4042,12.44448990778306,79.9775646526204
57,Palacodu,110070,53,-28100,12.35970755351084,78.06626105804256
51,Uthangarai (SC),99675,52,-28387,12.307889583087837,78.47700829186837
70,Vandavasi (SC),73822,35,35803,12.26745908921563,79.34266123184426
64,Kilpennathur,77888,38,26787,12.235311216939175,79.1872172024239
71,Mailam,81044,45,-2230,12.238498620215205,79.52475815433499
58,Pennagaram,106123,50,-21186,12.123462304291957,77.87142683714929
72,Tindivanam (SC),87152,47,-9753,12.213634499732416,79.80087439075531
63,Tiruvannamalai,43203,20,94673,12.177834886221058,79.0488525467735
61,Harur (SC),99061,49,-30362,12.032031156013085,78.58155570954122
60,Pappireddippatti,114507,51,-36943,12.058507287431405,78.29589228010735
59,Dharmapuri,105630,48,-26860,12.050381812470727,78.11398201137172
73,Vanur (SC),92219,50,-21727,11.972776549498201,79.61774356549526
75,Vikravandi,84157,43,9573,12.040334986770256,79.48408250919887
76,Tirukkoyilur,51300,26,59680,11.963156947185405,79.27500583526309
78,Rishivandiyam,72184,33,41728,11.924148150616697,79.0898495638128
79,Sankarapuram,75223,34,45963,11.832125741709655,78.84328091626737
84,Omalur,142488,57,-55294,11.837805126355557,78.07408506024856
105,Anthiyur,77821,44,1275,11.684826402966161,77.5546840488839
85,Mettur,97055,44,-656,11.79947904472217,77.80063195060228
74,Viluppuram,87403,42,14868,11.917635339499379,79.5161647151552
83,Yercaud (ST),121561,50,-25955,11.742674036777425,78.3113448709125
77,Ulundurpettai,110195,45,5256,11.75422246499482,79.30983263119082
155,Cuddalore,79412,43,5151,11.801066627373013,79.70570702476229
107,Bhavanisagar,99181,49,-16008,11.571919977524994,77.17497753861326
154,Panruti,89104,45,4697,11.81009447128289,79.5601861222793
86,Edappadi,163154,65,-93802,11.669170700817228,77.84755867473721
80,Kallakurichi (SC),110643,48,-25891,11.661182039719387,78.99449993390986
82,Attur(SC),95308,47,-8257,11.630306074116072,78.54179838711836
109,Gudalur (SC),64496,46,-1945,11.542389750236845,76.48382440477059
153,Neyveli,74200,45,977,11.677319016309605,79.57401720144283
88,Salem (West),105483,48,-21499,11.700025804397422,78.07633990204302
156,Kurinjipadi,83929,42,17527,11.6355618614408,79.69946754742065
89,Salem (North),85844,42,7588,11.689687568226754,78.15692322459526
87,Sankari,115472,49,-20045,11.566618533418643,77.97385267782676
104,Bhavani,100915,50,-22523,11.539192964333887,77.67089345886146
91,Veerapandi,111682,49,-19895,11.61100442956083,78.16445174877913
81,Gangavalli (SC),89568,48,-7361,11.518227825353927,78.73915987529261
90,Salem (South),97506,48,-22609,11.647042769907978,78.1535139199443
108,Udhagamandalam,60182,42,5348,11.410400469106401,76.67392292323527
152,Vriddhachalam,76202,38,862,11.553185315949628,79.24131329126857
110,Coonoor,57715,42,4105,11.420185056095528,76.89989750216805
92,Rasipuram (SC),88775,45,1952,11.49685571931604,78.26370897763945
106,Gobichettipalayam,108608,50,-28563,11.41829023085952,77.36666082879412
151,Tittakudi (SC),62163,36,21563,11.496002358022446,79.0169734786661
157,Bhuvanagiri,96453,48,-8259,11.48471917270171,79.50460138850141
158,Chidambaram,91961,50,-16937,11.45324071348818,79.7465376354287
96,Tiruchengodu,78826,42,2862,11.39328148275427,77.91762212012583
147,Perambalur (SC),91056,37,31034,11.296256380477638,78.8393050076549
97,Kumarapalayam,100800,49,-31646,11.39303659736114,77.78282103283195
93,Senthamangalam(ST),80188,40,10493,11.263234795249668,78.33006821594552
99,Erode (West),78668,38,22089,11.332905043932692,77.66539577708824
111,Mettuppalayam,105231,46,-2456,11.269692432959454,76.89348376334036
159,Kattumannarkoil(SC),75491,42,10565,11.312753245066256,79.58841178980916
103,Perundurai,85125,44,-14507,11.27183444450406,77.50363491902976
94,Namakkal,78633,38,27861,11.230591094803225,78.1364525338021
95,Paramathi-Velur,86034,46,-7662,11.24750246186917,77.95974038703699
98,Erode (East),58396,38,8904,11.36639367587747,77.73264448537313
