dmk_votes,admk_votes,lat,lng
106494,78633,11.24076760764379,78.14745965669502
78372,86034,11.216355798598332,77.99437693402793
67300,58396,11.351273213145378,77.71767439342881
87786,65715,11.216690784782868,78.57645842916008
99529,94077,11.24190195088628,79.37352282737645
94057,81909,11.257452649129624,79.75748737080723
103922,97593,11.250091465831309,79.07388349630772
66382,117284,11.230389019736066,77.16970321227963
73282,113384,11.20059089636408,77.35308075076566
77844,78125,11.168760790335341,77.77513092155532
103975,100741,11.057755582205465,79.1486125671025
125893,135669,11.104550745190208,76.91822666254558
87036,118968,10.976802564240458,77.15772586028626
94197,86866,11.008483745632438,77.6103457613716
73642,70900,11.144772677603646,79.62106021889292
90624,63788,11.043990707673933,78.36899410029038
75535,70826,11.104376376091352,77.37022115675589
95763,85083,11.031236870386403,79.47473673833615
94212,126903,10.993959274458106,77.32435930052134
96102,92803,11.059685670738938,79.71808893327254
116334,56716,10.985624040675711,78.65271870194886
93369,68553,10.870985127138182,77.90689038646656
82595,124225,10.969530148030735,76.79794130754131
77453,81454,11.027837742988307,76.92801719945518
84914,67965,10.967095694888544,78.87961245196983
70390,81244,11.009111281015048,77.02092744727625
101757,89309,10.99234157288885,78.08843354427484
42383,53209,11.00479132614184,76.97650914594637
96057,74674,10.978868511306777,79.37682893402965
100442,101537,10.88091161622189,76.94823999819856
86567,70294,10.862356418849773,79.25805814796784
96540,64915,10.793370311658476,78.18281290649355
100829,77289,10.816152209057762,78.4187621786267
89986,88593,10.770844520324315,77.55662956662556
78842,80567,10.75430252267183,77.02679704457213
113904,93989,10.756396770978515,78.58335928763323
103210,49560,10.806315878662854,79.00498951472535
66281,59043,10.898925640770372,79.77120031064217
94302,40505,10.806000337807863,78.70934609644539
106481,88928,10.582279240976781,78.06174034707186
74998,96893,10.673874737785841,77.17468639535379
118133,33024,10.787283454921276,78.68721287210697
105424,55727,10.751322282891817,78.7919435929007
108906,57732,10.749521085963936,79.58739626193346
67988,51003,10.677319792560132,79.764964560205
103772,56623,10.75824704793758,79.11905276734488
87172,49779,10.663576192107282,79.42201407457343
61228,90063,10.6257398877392,79.22526492264747
109970,81228,10.561486651489338,77.66036466189756
98077,85834,10.50807583384154,78.37386655772575
78581,102179,10.551462173186929,78.65010571145403
77875,84313,10.469837979906151,77.23373077349218
59449,71672,10.440354988366668,76.94995414239209
69710,56989,10.569467880618348,78.95882012915183
97092,67024,10.474483354665441,79.58157768221682
66390,78719,10.42090796225565,79.7649499886297
85802,72801,10.441947124289689,78.95452218126277
108566,78510,10.32234916175923,77.49156172282372
165809,30238,10.363755133404565,77.83665302156946
79065,53796,10.423815192873494,79.38375250444277
89130,65627,10.32753270494231,79.21992830444296
95830,107762,10.267717973080028,78.14890499014055
72848,90595,10.379493264838867,77.99743137459954
71349,69967,10.278241776911303,78.70487220214612
103682,66308,10.165733438546637,78.5787992991948
87935,62088,10.296371809425814,79.00628623836309
48182,83344,10.080920079795986,78.34680429383889
63843,91461,10.146157470073204,77.82018543813241
92251,70930,10.109586829858772,77.57820242273593
81835,50942,10.048875454122019,79.08463264111323
89029,100050,10.007247362036706,77.37296114158653
84240,67195,10.075546719581084,78.03766195722815
75954,54365,9.947087767253116,78.8410359386959
93541,85003,9.777505375774972,77.46169750806894
122729,73125,9.971561969927846,78.197574206417
63778,71255,9.871721048230224,77.74823453534745
70900,82153,9.867140583842303,78.55220135160702
74762,83883,9.944554513600924,78.05777686452531
104800,62387,9.819495314047302,77.28781121757581
86251,100338,9.759090405771857,77.9204998568788
73010,50094,9.938998912438018,78.13370431375947
74194,103683,9.85302487233608,78.08831784338629
73205,39029,9.923218018490797,78.10576884552135
62812,56297,9.912252370562202,78.13350173647348
79364,65512,9.654044191149893,78.90282226120597
89364,75273,9.693798080255565,78.48718475508322
102225,41233,9.56747791212811,78.21700955770802
57737,70475,9.571981585203531,77.62460703336636
73297,51958,9.557670182813077,77.8708487227459
84864,71579,9.499904294687276,78.60491246530049
91040,52006,9.417535055479537,78.01804474977912
78947,61628,9.462371061315354,77.76642564816535
74158,70260,9.434321123756643,77.47996051883334
101901,81180,9.089909052484257,78.49167469724202
74174,62995,9.350179567990274,77.76072644618387
68730,66363,9.260026496876943,77.4287288262802
111082,60603,9.159576229759258,78.82558398581234
90348,51799,8.941290223864769,78.27238630828155
71347,66050,9.136964570140078,77.63559772925458
37380,68556,9.062571648689994,77.81680625319576
64125,88474,9.063103364778767,77.29707254828051
89315,88945,8.96225165058338,77.42510059432347
73110,64600,8.83440798014423,78.20593749531919
69175,92282,8.820083472022567,77.67419394918957
70614,74153,8.828866104371249,77.45773605334263
68296,85211,8.674876287148528,77.38827263976718
75902,59416,8.535700681839614,77.65990976644873
92314,42004,8.797894398607657,78.16530847670488
89117,36976,8.707263355542215,77.74252947484568
76843,59471,8.539648885177678,77.9303876836862
88274,63011,8.516754610976745,78.05015205981746
87473,58804,8.414514060512456,77.24056941305088
87744,60859,8.121674828430647,77.31726444030174
93532,109745,8.255598403062889,77.47892288367815
82331,76406,8.286108032455305,77.70124079363143
101541,46141,8.263816080428915,77.18435903585383
90681,65849,8.140406030314088,77.30164753100883
77135,88804,8.165420190276084,77.40348353516362
99213,103637,10.893196129619254,79.52273293472946
